Time,Total solar irradiance (W/m2),Direct normal irradiance (W/m2),Global horizontal irradiance (W/m2),Relative humidity (%),Power (MW)
2019-01-06 13:00:00,860.5,38.0,359.25,35.925,37.07464975
2019-01-06 14:00:00,841.25,22.0,341.75,32.925,36.11064925
2019-01-06 15:00:00,704.25,15.25,247.5,29.75,30.6547995
2019-01-06 16:00:00,490.0,13.0,134.5,29.65,20.284366
2019-01-06 17:00:00,207.0,7.75,50.75,29.05,5.6440165
2019-01-06 18:00:00,15.25,1.75,4.75,31.225,0.24685
2019-01-06 19:00:00,0.0,0.0,0.0,36.75,0.0
2019-01-06 20:00:00,0.0,0.0,0.0,40.150000000000006,0.0
2019-01-06 21:00:00,0.0,0.0,0.0,39.05,0.0
2019-01-06 22:00:00,0.0,0.0,0.0,39.85,0.0
2019-01-06 23:00:00,0.0,0.0,0.0,42.125,0.0
2019-01-07 00:00:00,0.0,0.0,0.0,45.9,0.0
2019-01-07 01:00:00,0.0,0.0,0.0,49.825,0.0
2019-01-07 02:00:00,0.0,0.0,0.0,52.625,0.0
2019-01-07 03:00:00,0.0,0.0,0.0,54.525,0.0
2019-01-07 04:00:00,0.0,0.0,0.0,54.7,0.0
2019-01-07 05:00:00,0.0,0.0,0.0,55.625,0.0
2019-01-07 06:00:00,0.0,0.0,0.0,57.0,0.0
2019-01-07 07:00:00,0.0,0.0,0.0,57.45,0.0
2019-01-07 08:00:00,0.0,0.0,0.0,57.7,0.0
2019-01-07 09:00:00,44.5,18.0,13.25,59.275,1.11525
2019-01-07 10:00:00,429.0,103.0,80.0,57.225,13.906499
2019-01-07 11:00:00,693.0,101.0,174.0,51.925,30.0113485
2019-01-07 12:00:00,847.75,81.25,274.0,44.775,37.27454925
2019-01-07 13:00:00,923.75,50.0,354.5,38.650000000000006,39.9105335
2019-01-07 14:00:00,891.0,25.5,337.25,37.025,39.49344925
2019-01-07 15:00:00,754.25,16.5,245.0,35.625,34.7960315
2019-01-07 16:00:00,590.0,13.25,141.5,36.475,25.82944875
2019-01-07 17:00:00,339.0,9.75,55.5,38.275,8.43858325
2019-01-07 18:00:00,30.0,4.5,5.25,40.475,0.2450335
2019-01-07 19:00:00,0.0,0.0,0.0,42.5,0.0
2019-01-07 20:00:00,0.0,0.0,0.0,44.0,0.0
2019-01-07 21:00:00,0.0,0.0,0.0,46.0,0.0
2019-01-07 22:00:00,0.0,0.0,0.0,46.375,0.0
2019-01-07 23:00:00,0.0,0.0,0.0,49.05,0.0
2019-01-08 00:00:00,0.0,0.0,0.0,52.5,0.0
2019-01-08 01:00:00,0.0,0.0,0.0,56.15,0.0
2019-01-08 02:00:00,0.0,0.0,0.0,57.975,0.0
2019-01-08 03:00:00,0.0,0.0,0.0,58.900000000000006,0.0
2019-01-08 04:00:00,0.0,0.0,0.0,58.9,0.0
2019-01-08 05:00:00,0.0,0.0,0.0,56.925,0.0
2019-01-08 06:00:00,0.0,0.0,0.0,59.075,0.0
2019-01-08 07:00:00,0.0,0.0,0.0,60.275,0.0
2019-01-08 08:00:00,0.0,0.0,0.0,59.925,0.0
2019-01-08 10:00:00,442.5,433.25,58.0,57.15,14.939266
2019-01-08 11:00:00,682.75,606.0,116.0,50.525,29.63808225
2019-01-08 12:00:00,834.25,701.25,181.75,42.55,36.80888275
2019-01-08 13:00:00,934.25,751.75,258.75,43.0,40.4323665
2019-01-08 14:00:00,899.75,751.25,262.5,39.775,39.043231500000005
2019-01-08 15:00:00,781.75,727.0,214.5,35.099999999999994,34.734748249999996
2019-01-08 16:00:00,562.75,493.5,124.5,34.05,24.20838225
2019-01-08 17:00:00,186.25,135.5,54.25,34.875,4.5732665
2019-01-08 18:00:00,15.75,13.25,4.5,36.45,0.16598325
2019-01-08 19:00:00,0.0,0.0,0.0,41.474999999999994,0.0
2019-01-08 20:00:00,0.0,0.0,0.0,42.5,0.0
2019-01-08 21:00:00,0.0,0.0,0.0,44.05,0.0
2019-01-08 22:00:00,0.0,0.0,0.0,45.775,0.0
2019-01-08 23:00:00,0.0,0.0,0.0,46.4,0.0
2019-01-09 00:00:00,0.0,0.0,0.0,50.325,0.0
2019-01-09 01:00:00,0.0,0.0,0.0,52.65,0.0
2019-01-09 02:00:00,0.0,0.0,0.0,54.125,0.0
2019-01-09 03:00:00,0.0,0.0,0.0,56.75,0.0
2019-01-09 04:00:00,0.0,0.0,0.0,57.975,0.0
2019-01-09 05:00:00,0.0,0.0,0.0,58.975,0.0
2019-01-09 06:00:00,0.0,0.0,0.0,59.375,0.0
2019-01-09 07:00:00,0.0,0.0,0.0,59.6,0.0
2019-01-09 08:00:00,0.0,0.0,0.0,59.125,0.0
2019-01-09 09:00:00,27.75,10.0,11.5,58.675,0.63339975
2019-01-09 10:00:00,327.25,238.25,61.25,56.0,11.98064925
2019-01-09 11:00:00,606.5,430.5,113.25,49.175,22.905082999999998
2019-01-09 12:00:00,773.5,519.0,167.5,40.35,14.14353275
2019-01-09 13:00:00,862.75,565.5,218.25,36.875,12.53571625
2019-01-09 14:00:00,848.25,578.25,227.5,37.95,15.71238275
2019-01-09 15:00:00,713.0,548.25,181.25,36.3,17.500498999999998
2019-01-09 16:00:00,532.25,358.5,118.75,34.125,21.13941575
2019-01-09 17:00:00,265.75,197.75,55.25,36.2,7.1789165
2019-01-09 18:00:00,20.5,11.75,6.5,39.925,0.31213325000000003
2019-01-09 19:00:00,0.0,0.0,0.0,42.4,0.0
2019-01-09 20:00:00,0.0,0.0,0.0,43.1,0.0
2019-01-09 21:00:00,0.0,0.0,0.0,46.2,0.0
2019-01-09 22:00:00,0.0,0.0,0.0,48.025,0.0
2019-01-09 23:00:00,0.0,0.0,0.0,50.2,0.0
2019-01-10 00:00:00,0.0,0.0,0.0,53.875,0.0
2019-01-10 01:00:00,0.0,0.0,0.0,56.625,0.0
2019-01-10 02:00:00,0.0,0.0,0.0,57.3,0.0
2019-01-10 03:00:00,0.0,0.0,0.0,60.75,0.0
2019-01-10 04:00:00,0.0,0.0,0.0,60.925,0.0
2019-01-10 05:00:00,0.0,0.0,0.0,62.55,0.0
2019-01-10 06:00:00,0.0,0.0,0.0,62.875,0.0
2019-01-10 07:00:00,0.0,0.0,0.0,62.325,0.0
2019-01-10 08:00:00,0.0,0.0,0.0,63.3,0.0
2019-01-10 09:00:00,40.5,16.75,15.75,63.525,1.03805
2019-01-10 10:00:00,363.5,256.25,62.75,61.625,12.2373495
2019-01-10 11:00:00,655.75,471.75,103.0,56.075,28.118799
2019-01-10 12:00:00,816.25,571.0,139.0,45.625,35.179366
2019-01-10 13:00:00,883.25,576.25,190.0,40.975,36.604516000000004
2019-01-10 14:00:00,561.0,248.25,204.25,41.900000000000006,26.489131999999998
2019-01-10 15:00:00,621.25,364.75,204.75,40.425,24.536683
2019-01-10 16:00:00,443.5,236.25,131.0,40.5,17.68868275
2019-01-10 17:00:00,237.5,142.25,73.5,40.875,8.12456675
2019-01-10 18:00:00,27.25,16.75,8.0,43.775,0.42815000000000003
2019-01-10 19:00:00,0.0,0.0,0.0,45.8,0.0
2019-01-10 20:00:00,0.0,0.0,0.0,47.825,0.0
2019-01-10 21:00:00,0.0,0.0,0.0,48.725,0.0
2019-01-10 22:00:00,0.0,0.0,0.0,50.875,0.0
2019-01-10 23:00:00,0.0,0.0,0.0,53.35,0.0
2019-01-11 00:00:00,0.0,0.0,0.0,56.1,0.0
2019-01-11 01:00:00,0.0,0.0,0.0,58.525,0.0
2019-01-11 02:00:00,0.0,0.0,0.0,60.025,0.0
2019-01-11 03:00:00,0.0,0.0,0.0,59.625,0.0
2019-01-11 04:00:00,0.0,0.0,0.0,59.725,0.0
2019-01-11 05:00:00,0.0,0.0,0.0,60.675000000000004,0.0
2019-01-11 06:00:00,0.0,0.0,0.0,60.675,0.0
2019-01-11 07:00:00,0.0,0.0,0.0,60.35,0.0
2019-01-11 08:00:00,0.0,0.0,0.0,61.625,0.0
2019-01-11 09:00:00,31.25,17.0,10.5,61.05,0.68453325
2019-01-11 10:00:00,357.5,261.25,54.5,58.65,12.7085165
2019-01-11 11:00:00,640.75,451.5,90.75,53.925,27.58844925
2019-01-11 12:00:00,809.0,557.25,118.5,46.275,35.25083225
2019-01-11 13:00:00,916.75,632.75,154.75,41.55,38.832515
2019-01-11 14:00:00,906.5,674.5,159.25,41.8,38.567448
2019-01-11 15:00:00,773.25,661.5,133.25,40.875,33.904099
2019-01-11 16:00:00,599.25,442.75,95.5,39.7,25.0993825
2019-01-11 17:00:00,329.25,286.0,47.75,39.275,8.96726625
2019-01-11 18:00:00,29.25,25.5,6.5,42.075,0.3759335
2019-01-11 19:00:00,0.0,0.0,0.0,45.1,0.0
2019-01-11 20:00:00,0.0,0.0,0.0,47.5,0.0
2019-01-11 21:00:00,0.0,0.0,0.0,47.75,0.0
2019-01-11 22:00:00,0.0,0.0,0.0,51.4,0.0
2019-01-11 23:00:00,0.0,0.0,0.0,50.975,0.0
2019-01-12 00:00:00,0.0,0.0,0.0,54.725,0.0
2019-01-12 01:00:00,0.0,0.0,0.0,57.15,0.0
2019-01-12 02:00:00,0.0,0.0,0.0,55.725,0.0
2019-01-12 03:00:00,0.0,0.0,0.0,53.825,0.0
2019-01-12 04:00:00,0.0,0.0,0.0,59.325,0.0
2019-01-12 05:00:00,0.0,0.0,0.0,59.55,0.0
2019-01-12 06:00:00,0.0,0.0,0.0,61.425,0.0
2019-01-12 07:00:00,0.0,0.0,0.0,61.85,0.0
2019-01-12 08:00:00,0.0,0.0,0.0,63.0,0.0
2019-01-12 09:00:00,81.75,59.75,18.0,61.775,1.5674000000000001
2019-01-12 10:00:00,418.0,297.25,51.75,58.55,14.61048275
2019-01-12 11:00:00,680.0,463.0,74.0,53.675,29.269466
2019-01-12 12:00:00,839.0,568.75,93.5,46.275,36.5720485
2019-01-12 13:00:00,945.0,664.25,125.25,42.925,39.69833125
2019-01-12 14:00:00,933.0,702.5,132.0,42.25,39.312965750000004
2019-01-12 15:00:00,788.5,682.0,111.75,40.349999999999994,34.45986625
2019-01-12 16:00:00,604.5,439.25,87.0,39.35,25.11206575
2019-01-12 17:00:00,337.0,287.25,47.5,39.15,8.78658325
2019-01-12 18:00:00,12.25,5.5,4.5,42.925,0.17165
2019-01-12 19:00:00,0.0,0.0,0.0,46.425,0.0
2019-01-12 20:00:00,0.0,0.0,0.0,47.4,0.0
2019-01-12 21:00:00,0.0,0.0,0.0,48.400000000000006,0.0
2019-01-12 22:00:00,0.0,0.0,0.0,50.475,0.0
2019-01-12 23:00:00,0.0,0.0,0.0,51.15,0.0
2019-01-13 00:00:00,0.0,0.0,0.0,53.8,0.0
2019-01-13 01:00:00,0.0,0.0,0.0,56.75,0.0
2019-01-13 02:00:00,0.0,0.0,0.0,59.225,0.0
2019-01-13 03:00:00,0.0,0.0,0.0,60.775,0.0
2019-01-13 04:00:00,0.0,0.0,0.0,60.975,0.0
2019-01-13 05:00:00,0.0,0.0,0.0,63.35,0.0
2019-01-13 06:00:00,0.0,0.0,0.0,62.475,0.0
2019-01-13 07:00:00,0.0,0.0,0.0,63.1,0.0
2019-01-13 08:00:00,0.0,0.0,0.0,64.075,0.0
2019-01-13 09:00:00,79.75,38.25,27.5,64.075,1.89568325
2019-01-13 10:00:00,303.25,169.5,56.5,62.85,9.9766995
2019-01-13 11:00:00,644.25,393.0,78.5,56.2,28.02044925
2019-01-13 12:00:00,718.25,389.75,150.75,47.85,31.281948
2019-01-13 13:00:00,556.5,231.5,174.5,46.05,22.101032749999998
2019-01-13 14:00:00,801.0,530.25,127.0,43.675,35.815832
2019-01-13 15:00:00,683.0,487.75,125.5,39.75,25.4261665
2019-01-13 16:00:00,185.0,26.0,106.0,39.65,7.74463325
2019-01-13 17:00:00,91.0,2.75,68.0,39.525,3.91491625
2019-01-13 18:00:00,6.5,0.0,6.25,41.425,0.08916675
2019-01-13 19:00:00,0.0,0.0,0.0,43.225,0.0
2019-01-13 20:00:00,0.0,0.0,0.0,44.175,0.0
2019-01-13 21:00:00,0.0,0.0,0.0,46.45,0.0
2019-01-13 22:00:00,0.0,0.0,0.0,47.125,0.0
2019-01-13 23:00:00,0.0,0.0,0.0,49.05,0.0
2019-01-14 00:00:00,0.0,0.0,0.0,48.875,0.0
2019-01-14 01:00:00,0.0,0.0,0.0,51.225,0.0
2019-01-14 02:00:00,0.0,0.0,0.0,55.275,0.0
2019-01-14 03:00:00,0.0,0.0,0.0,56.725,0.0
2019-01-14 04:00:00,0.0,0.0,0.0,56.25,0.0
2019-01-14 05:00:00,0.0,0.0,0.0,56.975,0.0
2019-01-14 06:00:00,0.0,0.0,0.0,58.725,0.0
2019-01-14 07:00:00,0.0,0.0,0.0,60.425,0.0
2019-01-14 08:00:00,0.0,0.0,0.0,60.625,0.0
2019-01-14 09:00:00,97.0,72.0,15.5,58.175,1.50885
2019-01-14 10:00:00,407.25,261.25,43.75,50.5,14.1639995
2019-01-14 11:00:00,681.75,426.75,61.0,45.8,29.1204495
2019-01-14 12:00:00,836.0,528.0,78.75,39.625,36.12468275
2019-01-14 13:00:00,845.75,476.0,121.25,35.95,36.5493155
2019-01-14 14:00:00,815.0,493.25,125.75,30.65,34.5804165
2019-01-14 15:00:00,699.75,481.25,113.0,29.4,30.761999
2019-01-14 16:00:00,499.75,279.75,91.5,27.8,20.67856625
2019-01-14 17:00:00,170.25,75.5,49.0,29.575,5.81261675
2019-01-14 18:00:00,11.25,0.75,6.25,32.425,0.2348165
2019-01-14 19:00:00,0.0,0.0,0.0,36.725,0.0
2019-01-14 20:00:00,0.0,0.0,0.0,37.8,0.0
2019-01-14 21:00:00,0.0,0.0,0.0,41.425,0.0
2019-01-14 22:00:00,0.0,0.0,0.0,44.925,0.0
2019-01-14 23:00:00,0.0,0.0,0.0,45.3,0.0
2019-01-15 00:00:00,0.0,0.0,0.0,46.625,0.0
2019-01-15 01:00:00,0.0,0.0,0.0,48.85,0.0
2019-01-15 02:00:00,0.0,0.0,0.0,46.325,0.0
2019-01-15 03:00:00,0.0,0.0,0.0,45.825,0.0
2019-01-15 04:00:00,0.0,0.0,0.0,44.95,0.0
2019-01-15 05:00:00,0.0,0.0,0.0,46.275,0.0
2019-01-15 06:00:00,0.0,0.0,0.0,44.725,0.0
2019-01-15 07:00:00,0.0,0.0,0.0,43.575,0.0
2019-01-15 08:00:00,0.0,0.0,0.0,42.4,0.0
2019-01-15 09:00:00,38.5,8.0,21.0,42.875,0.90821675
2019-01-15 10:00:00,151.75,25.0,85.5,45.875,6.393533
2019-01-15 11:00:00,413.75,111.5,154.0,44.575,18.97499925
2019-01-15 12:00:00,652.0,255.25,158.25,42.475,27.266732750000003
2019-01-15 13:00:00,672.0,240.75,219.0,39.75,27.89129875
2019-01-15 14:00:00,537.25,191.0,193.25,37.875,21.127032749999998
2019-01-15 15:00:00,286.0,91.0,114.75,38.175,16.86269975
2019-01-15 16:00:00,288.25,69.5,117.75,38.275,12.5837
2019-01-15 17:00:00,185.75,56.25,73.25,38.0,6.8646164999999995
2019-01-15 18:00:00,15.0,1.75,10.0,39.775,0.41945
2019-01-15 19:00:00,0.0,0.0,0.0,43.775,0.0
2019-01-15 20:00:00,0.0,0.0,0.0,45.425,0.0
2019-01-15 21:00:00,0.0,0.0,0.0,47.25,0.0
2019-01-15 22:00:00,0.0,0.0,0.0,44.525,0.0
2019-01-15 23:00:00,0.0,0.0,0.0,41.125,0.0
2019-01-16 00:00:00,0.0,0.0,0.0,46.475,0.0
2019-01-16 01:00:00,0.0,0.0,0.0,58.05,0.0
2019-01-16 02:00:00,0.0,0.0,0.0,63.625,0.0
2019-01-16 03:00:00,0.0,0.0,0.0,65.25,0.0
2019-01-16 04:00:00,0.0,0.0,0.0,65.35,0.0
2019-01-16 05:00:00,0.0,0.0,0.0,66.275,0.0
2019-01-16 06:00:00,0.0,0.0,0.0,67.2,0.0
2019-01-16 07:00:00,0.0,0.0,0.0,66.05,0.0
2019-01-16 08:00:00,0.0,0.0,0.0,64.9,0.0
2019-01-16 09:00:00,31.75,5.25,16.0,64.875,0.76963325
2019-01-16 10:00:00,275.25,101.5,61.25,62.775000000000006,12.37263325
2019-01-16 11:00:00,622.75,304.75,73.25,55.875,27.85639825
2019-01-16 12:00:00,832.0,442.25,87.5,47.675,36.0580655
2019-01-16 13:00:00,567.75,182.25,179.0,41.775,25.8433995
2019-01-16 14:00:00,882.25,514.0,117.0,44.75,37.553283
2019-01-16 15:00:00,685.5,452.75,94.25,44.425,30.032099000000002
2019-01-16 16:00:00,320.75,108.25,82.75,42.75,16.50979925
2019-01-16 17:00:00,199.5,80.0,51.75,42.2,6.84805
2019-01-16 18:00:00,14.0,1.5,8.75,45.175,0.28463325
2019-01-16 19:00:00,0.0,0.0,0.0,47.7,0.0
2019-01-16 20:00:00,0.0,0.0,0.0,48.275,0.0
2019-01-16 21:00:00,0.0,0.0,0.0,50.9,0.0
2019-01-16 22:00:00,0.0,0.0,0.0,54.475,0.0
2019-01-16 23:00:00,0.0,0.0,0.0,56.975,0.0
2019-01-17 00:00:00,0.0,0.0,0.0,58.725,0.0
2019-01-17 01:00:00,0.0,0.0,0.0,57.525000000000006,0.0
2019-01-17 02:00:00,0.0,0.0,0.0,59.225,0.0
2019-01-17 03:00:00,0.0,0.0,0.0,58.875,0.0
2019-01-17 04:00:00,0.0,0.0,0.0,59.5,0.0
2019-01-17 05:00:00,0.0,0.0,0.0,59.675,0.0
2019-01-17 06:00:00,0.0,0.0,0.0,59.775,0.0
2019-01-17 07:00:00,0.0,0.0,0.0,58.65,0.0
2019-01-17 08:00:00,0.0,0.0,0.0,57.75,0.0
2019-01-17 09:00:00,30.25,5.5,12.5,61.0,0.7875665000000001
2019-01-17 10:00:00,189.5,39.25,76.5,61.2,6.86165
2019-01-17 11:00:00,483.5,176.5,88.25,56.075,19.074983
2019-01-17 12:00:00,757.25,289.0,157.75,45.975,32.26623275
2019-01-17 13:00:00,766.5,324.0,141.0,43.575,32.914133
2019-01-17 14:00:00,923.25,475.75,146.0,40.9,36.35636575
2019-01-17 15:00:00,718.0,462.75,91.5,37.95,31.5484985
2019-01-17 16:00:00,369.25,148.0,86.25,38.625,15.049482999999999
2019-01-17 17:00:00,137.5,32.25,56.25,40.75,4.57126675
2019-01-17 18:00:00,15.75,2.75,8.25,43.775000000000006,0.32238325
2019-01-17 19:00:00,0.0,0.0,0.0,45.575,0.0
2019-01-17 20:00:00,0.0,0.0,0.0,45.375,0.0
2019-01-17 21:00:00,0.0,0.0,0.0,46.1,0.0
2019-01-17 22:00:00,0.0,0.0,0.0,46.475,0.0
2019-01-17 23:00:00,0.0,0.0,0.0,46.425,0.0
